,bucket_en_entier,bucket,ID,Sex,Good sex prediction,age,Age predicted
20606,6,"(40, 45]",20607.0,1.0,1.0,45.0,1.0
20621,7,"(45, 65]",20622.0,0.0,0.0,62.0,1.0
19692,7,"(45, 65]",19693.0,0.0,0.0,59.0,1.0
30841,9,"(70, 150]",30842.0,1.0,1.0,76.0,2.0
23591,6,"(40, 45]",23592.0,0.0,0.0,45.0,1.0
13151,3,"(25, 30]",13152.0,1.0,1.0,26.0,1.0
6134,4,"(30, 35]",6135.0,1.0,0.0,35.0,2.0
6018,7,"(45, 65]",6019.0,1.0,1.0,59.0,3.0
13793,7,"(45, 65]",13794.0,1.0,1.0,46.0,1.0
27976,7,"(45, 65]",27977.0,0.0,0.0,47.0,1.0
19345,3,"(25, 30]",19346.0,1.0,1.0,26.0,1.0
18630,6,"(40, 45]",18631.0,0.0,1.0,45.0,0.0
18499,7,"(45, 65]",18500.0,0.0,0.0,49.0,1.0
19675,7,"(45, 65]",19676.0,0.0,0.0,56.0,1.0
30400,5,"(35, 40]",30401.0,1.0,1.0,38.0,1.0
30045,7,"(45, 65]",30046.0,0.0,0.0,61.0,1.0
18871,7,"(45, 65]",18872.0,0.0,1.0,52.0,1.0
24220,7,"(45, 65]",24221.0,1.0,0.0,58.0,3.0
28126,8,"(65, 70]",28127.0,1.0,1.0,66.0,1.0
34420,6,"(40, 45]",34421.0,0.0,0.0,41.0,1.0
20323,5,"(35, 40]",20324.0,1.0,1.0,36.0,1.0
30497,8,"(65, 70]",30498.0,1.0,1.0,66.0,1.0
20254,7,"(45, 65]",20255.0,0.0,0.0,49.0,1.0
7408,7,"(45, 65]",7409.0,1.0,1.0,53.0,2.0
8531,3,"(25, 30]",8532.0,0.0,1.0,26.0,1.0
11467,7,"(45, 65]",11468.0,0.0,0.0,58.0,1.0
33597,7,"(45, 65]",33598.0,1.0,1.0,64.0,1.0
38361,3,"(25, 30]",38362.0,1.0,0.0,27.0,1.0
27083,5,"(35, 40]",27084.0,1.0,1.0,37.0,3.0
2488,6,"(40, 45]",2489.0,0.0,1.0,43.0,3.0
12427,7,"(45, 65]",12428.0,1.0,1.0,50.0,1.0
15557,5,"(35, 40]",15558.0,0.0,0.0,40.0,1.0
12487,7,"(45, 65]",12488.0,1.0,1.0,50.0,3.0
1399,5,"(35, 40]",1400.0,0.0,1.0,39.0,2.0
22587,7,"(45, 65]",22588.0,1.0,1.0,52.0,1.0
19459,8,"(65, 70]",19460.0,0.0,0.0,66.0,1.0
7989,5,"(35, 40]",7990.0,0.0,1.0,38.0,3.0
10425,7,"(45, 65]",10426.0,1.0,1.0,46.0,2.0
5717,7,"(45, 65]",5718.0,0.0,0.0,61.0,1.0
33139,7,"(45, 65]",33140.0,0.0,0.0,56.0,2.0
11176,7,"(45, 65]",11177.0,0.0,0.0,64.0,1.0
13253,2,"(20, 25]",13254.0,0.0,1.0,24.0,2.0
28595,1,"(18, 20]",28596.0,0.0,0.0,20.0,2.0
26756,2,"(20, 25]",26757.0,0.0,1.0,25.0,2.0
25499,9,"(70, 150]",25500.0,0.0,0.0,88.0,3.0
22509,6,"(40, 45]",22510.0,0.0,0.0,43.0,1.0
37619,3,"(25, 30]",37620.0,1.0,0.0,30.0,1.0
1876,5,"(35, 40]",1877.0,0.0,1.0,37.0,2.0
22610,4,"(30, 35]",22611.0,0.0,0.0,34.0,1.0
10083,4,"(30, 35]",10084.0,0.0,1.0,31.0,1.0
25940,6,"(40, 45]",25941.0,0.0,0.0,45.0,3.0
18181,5,"(35, 40]",18182.0,1.0,1.0,40.0,1.0
26327,7,"(45, 65]",26328.0,1.0,1.0,52.0,1.0
23779,5,"(35, 40]",23780.0,0.0,0.0,40.0,1.0
15727,5,"(35, 40]",15728.0,0.0,1.0,38.0,1.0
22683,4,"(30, 35]",22684.0,1.0,1.0,35.0,3.0
6257,7,"(45, 65]",6258.0,1.0,1.0,64.0,1.0
36554,8,"(65, 70]",36555.0,0.0,0.0,67.0,2.0
31406,7,"(45, 65]",31407.0,0.0,0.0,58.0,1.0
27891,7,"(45, 65]",27892.0,1.0,1.0,60.0,1.0
15963,7,"(45, 65]",15964.0,1.0,1.0,52.0,2.0
29929,2,"(20, 25]",29930.0,0.0,0.0,25.0,1.0
37846,7,"(45, 65]",37847.0,0.0,0.0,57.0,3.0
15643,6,"(40, 45]",15644.0,0.0,0.0,42.0,1.0
525,3,"(25, 30]",526.0,0.0,0.0,27.0,1.0
3529,6,"(40, 45]",3530.0,1.0,1.0,42.0,1.0
20220,5,"(35, 40]",20221.0,0.0,0.0,38.0,2.0
4932,7,"(45, 65]",4933.0,0.0,1.0,47.0,3.0
27221,6,"(40, 45]",27222.0,0.0,0.0,41.0,1.0
27763,7,"(45, 65]",27764.0,1.0,1.0,65.0,1.0
1357,7,"(45, 65]",1358.0,1.0,1.0,54.0,1.0
16989,3,"(25, 30]",16990.0,1.0,1.0,30.0,3.0
32894,6,"(40, 45]",32895.0,0.0,0.0,43.0,2.0
8193,3,"(25, 30]",8194.0,0.0,1.0,30.0,2.0
32409,7,"(45, 65]",32410.0,1.0,1.0,47.0,2.0
15907,7,"(45, 65]",15908.0,1.0,1.0,58.0,3.0
23288,5,"(35, 40]",23289.0,0.0,1.0,37.0,1.0
19433,7,"(45, 65]",19434.0,0.0,0.0,47.0,3.0
1273,4,"(30, 35]",1274.0,1.0,1.0,33.0,1.0
12761,7,"(45, 65]",12762.0,1.0,1.0,52.0,1.0
19810,7,"(45, 65]",19811.0,1.0,1.0,61.0,3.0
28433,7,"(45, 65]",28434.0,0.0,1.0,47.0,3.0
21714,4,"(30, 35]",21715.0,1.0,1.0,34.0,3.0
25799,7,"(45, 65]",25800.0,0.0,1.0,47.0,2.0
7349,6,"(40, 45]",7350.0,1.0,1.0,45.0,2.0
